"teamid","yearid","w","salary_diff"
"PHI",2007,89,1154880
"HOU",2008,86,1171414
"SFN",2015,84,1191333
"HOU",2005,89,1382000
"SLN",2007,78,1395452
"NYN",2002,75,1459165
"WAS",2010,69,1472000
"PHI",2012,81,1562559
"DET",2002,55,1631833
"CIN",2014,76,1813038
"OAK",2001,102,1839417
"CIN",2001,66,2118800
"MON",2001,68,2165167
"SDN",2002,66,2242167
"WAS",2011,80,2456928
"ATL",2011,89,2579026
"MIN",2005,83,2601000
"PHI",2005,88,2602833
"CLE",2009,65,2609100
"HOU",2002,84,2835750
"TOR",2015,93,3072300
"MON",2002,83,3511000
"BAL",2011,69,3691538
"ATL",2006,79,3699574
"SDN",2003,64,3785000
"COL",2011,73,3921071
"ARI",2001,92,4055166
"CHN",2001,88,4176500
"CHN",2003,88,4177500
"CIN",2011,79,4185592
"HOU",2004,92,4357000
"MIL",2011,96,4389055
"SFN",2003,100,4552332
"NYN",2005,83,4644851
"OAK",2013,96,4760000
"CIN",2015,64,4854786
"SLN",2012,88,4867290
"NYA",2010,95,4884200
"WAS",2009,59,4967000
"SLN",2010,86,5012342
"ATL",2013,96,5041583
"TBA",2006,61,5238900
"CHN",2007,85,5245833
"LAN",2016,91,5496380
"CLE",2015,81,5511867
"SEA",2002,93,5561834
"CIN",2008,74,5592715
"CLE",2007,96,5641767
"LAA",2007,94,5779333
"PIT",2005,67,5905071
"CHA",2007,72,5921166
"OAK",2002,103,6193417
"FLO",2002,79,6217417
"SEA",2005,69,6238500
"CIN",2012,97,6256482
"CLE",2014,85,6380099
"MIL",2002,56,6401000
"SFN",2009,88,6431950
"COL",2009,92,6545500
"SDN",2006,88,6605308
"OAK",2015,68,6645101
"SEA",2003,93,6676499
"OAK",2006,93,6817317
"DET",2014,90,6866000
"ARI",2009,70,6912954
"BAL",2013,85,7039334
"KCA",2004,58,7091000
"CLE",2005,93,7183200
"MIN",2006,96,7210006
"MIL",2001,68,7381500
"CHN",2006,66,7391566
"ATL",2001,88,7398330
"BOS",2016,93,7442361
"FLO",2003,91,7470083
"SFN",2016,87,7552278
"HOU",2003,87,7591583
"MIN",2001,85,7610500
"CIN",2007,72,7615461
"ARI",2014,64,7729500
"OAK",2016,69,7752733
"DET",2010,81,7779783
"SDN",2005,82,7906000
"MIN",2007,79,8043494
"SDN",2011,71,8069840
"SFN",2005,75,8180334
"MIA",2014,77,8235000
"MIN",2009,87,8366500
"MIN",2014,70,8425000
"PHI",2008,92,8451667
"PIT",2006,67,8584750
"LAA",2006,89,8604178
"TBA",2010,96,8610437
"LAN",2011,82,8830983
"SLN",2005,100,8878500
"COL",2010,83,9026000
"SLN",2003,85,9125791
"OAK",2004,91,9164833
"MIA",2016,79,9257702
"HOU",2001,93,9323556
"SLN",2008,86,9337626
"SDN",2012,76,9375560
"CHA",2010,88,9461500
"SFN",2001,90,9542341
"ATL",2014,79,9737475
"TBA",2004,70,9926667
"MIL",2008,90,9950999
"LAA",2008,100,9965000
"CHA",2005,99,9965500
"LAN",2007,82,10007337
"SDN",2014,77,10100200
"PIT",2011,72,10104000
"LAN",2008,84,10134012
"PIT",2008,67,10151950
"SDN",2004,87,10174833
"NYA",2016,84,10245835
"OAK",2003,96,10256667
"COL",2003,74,10328624
"SDN",2013,76,10340800
"KCA",2006,62,10413000
"COL",2001,73,10430144
"TOR",2007,83,10577800
"CHN",2004,89,10691667
"LAN",2003,85,10721667
"CHN",2002,67,10975000
"PHI",2014,73,11081778
"SEA",2008,61,11205649
"NYN",2015,90,11209693
"OAK",2011,74,11281600
"BOS",2012,69,11424142
"NYN",2009,70,11580611
"BAL",2015,81,11628833
"PIT",2015,98,11714499
"CHN",2010,75,11800000
"KCA",2002,62,11834500
"SLN",2011,90,11892821
"HOU",2006,82,11915435
"KCA",2001,65,11989500
"MIL",2012,83,12156611
"DET",2007,88,12187503
"KCA",2009,65,12273833
"OAK",2014,88,12275900
"CHN",2013,66,12370693
"TEX",2006,80,12379662
"MIL",2005,81,12406333
"TOR",2012,73,12441400
"PIT",2003,75,12488830
"CHA",2008,89,12517499
"COL",2007,90,12808000
"PHI",2003,86,12825001
"MON",2003,83,13278000
"ATL",2003,101,13373300
"BAL",2003,71,13384013
"MIL",2007,83,13418167
"SEA",2016,86,13474639
"DET",2006,95,13520866
"NYA",2002,103,13641440
"NYN",2001,82,13664652
"DET",2013,93,13689500
"OAK",2009,75,13942874
"HOU",2009,74,14066000
"PIT",2013,94,14110001
"ARI",2008,82,14135166
"NYN",2007,88,14146700
"ANA",2002,99,14186500
"CHA",2004,83,14202500
"CIN",2003,69,14305277
